,YearMonth,PostalCode,CustomerClass,TotalGallons
373,2012-02-01,78752,Commercial,20598200
374,2012-02-01,78753,City of Austin,21400
375,2012-02-01,78753,Irrigation - City of Austin,295600
376,2012-02-01,78753,Irrigation - Commercial,3777800
377,2012-02-01,78753,Austin Water Utility,0
378,2012-02-01,78753,Commercial,27470500
379,2012-02-01,78754,Irrigation - City of Austin,0
380,2012-02-01,78754,Irrigation - Commercial,1860100
381,2012-02-01,78754,Large Volume,127581400
382,2012-02-01,78754,Commercial,10221500
383,2012-02-01,78754,Austin Water Utility,71700
384,2012-02-01,78754,City of Austin,184800
385,2012-02-01,78756,City of Austin,23700
386,2012-02-01,78756,Commercial,7727100
387,2012-02-01,78756,Austin Water Utility,53800
388,2012-02-01,78756,Irrigation - City of Austin,0
389,2012-02-01,78756,Irrigation - Commercial,274800
390,2012-02-01,78757,City of Austin,247500
391,2012-02-01,78757,Commercial,16662400
392,2012-02-01,78757,Irrigation - Commercial,414300
393,2012-02-01,78757,Irrigation - City of Austin,0
394,2012-02-01,78758,City of Austin,797200
395,2012-02-01,78758,Irrigation - City of Austin,1832900
396,2012-02-01,78758,Commercial,41495600
397,2012-02-01,78758,Irrigation - Commercial,4495700
398,2012-02-01,78759,Austin Water Utility,0
399,2012-02-01,78759,City of Austin,10900
400,2012-02-01,78759,Irrigation - City of Austin,0
401,2012-02-01,78759,Irrigation - Commercial,4847800
402,2012-02-01,78759,Commercial,30828600
403,2012-03-01,78613,Commercial,2689100
404,2012-03-01,78613,Irrigation - Commercial,916700
405,2012-03-01,78617,Austin Water Utility,262700
406,2012-03-01,78617,Irrigation - City of Austin,0
407,2012-03-01,78617,Commercial,10600300
408,2012-03-01,78617,City of Austin,18333500
409,2012-03-01,78617,Irrigation - Commercial,359700
410,2012-03-01,78652,Commercial,152600
411,2012-03-01,78653,Commercial,470400
412,2012-03-01,78653,Wholesale,0
413,2012-03-01,78653,Irrigation - Commercial,63900
414,2012-03-01,78660,Austin Water Utility,600
415,2012-03-01,78660,Commercial,4121100
416,2012-03-01,78660,Wholesale,23972600
417,2012-03-01,78660,Irrigation - Commercial,1268400
418,2012-03-01,78701,Large Volume,1847000
419,2012-03-01,78701,Irrigation - City of Austin,309800
420,2012-03-01,78701,City of Austin,5562800
421,2012-03-01,78701,Irrigation - Commercial,867900
422,2012-03-01,78701,Commercial,64001500
423,2012-03-01,78701,Austin Water Utility,108000
424,2012-03-01,78702,Irrigation - Commercial,1106700
425,2012-03-01,78702,City of Austin,612800
426,2012-03-01,78702,Commercial,24291900
427,2012-03-01,78702,Austin Water Utility,64200
428,2012-03-01,78702,Irrigation - City of Austin,150100
429,2012-03-01,78703,City of Austin,957000
430,2012-03-01,78703,Austin Water Utility,10300
431,2012-03-01,78703,Commercial,14492500
432,2012-03-01,78703,Irrigation - Commercial,808800
433,2012-03-01,78703,Irrigation - City of Austin,84400
434,2012-03-01,78704,City of Austin,1368400
435,2012-03-01,78704,Irrigation - City of Austin,108700
436,2012-03-01,78704,Commercial,34938000
437,2012-03-01,78704,Austin Water Utility,52100
438,2012-03-01,78704,Irrigation - Commercial,2015900
439,2012-03-01,78705,Large Volume,4042100
440,2012-03-01,78705,City of Austin,90300
441,2012-03-01,78705,Irrigation - City of Austin,400
442,2012-03-01,78705,Irrigation - Commercial,2881500
443,2012-03-01,78705,Commercial,31460900
444,2012-03-01,78712,Large Volume,17207300
445,2012-03-01,78712,Irrigation - Large Volume,12580000
446,2012-03-01,78712,Commercial,4308700
447,2012-03-01,78712,Irrigation - Commercial,355200
448,2012-03-01,78717,Commercial,3991600
